question_code,ans1_body,ans2_body,ans3_body,ans1_b,ans1_a,ans2_b,ans2_a,ans_explanation,ans_image
GFA2LC1TDQ1,-4,,,1,,1,,explanation,
GFA2LC1TDQ2,-2n +13,,,,,,,explanation,
GFA2LC1TSQ1,0,,,,,,,explanation,
GFA2LC1TSQ2,-4n + 16,,,,,,,explanation,
GFA2LC2TDQ1,-1,,,,,,,explanation,
GFA2LC2TDQ2,-3,,,,,,,explanation,
GFA2LC2TDQ3, ¼ x +5,,,y=,,,,explanation,
GFA2LC2TSQ1,-2,,,,,,,explanation,
GFA2LC2TSQ2, –2x – 7,,,y=,,,,explanation,
GFA2LC2TSQ3, –2.5x + 10,,,y=,,,,explanation,
GFA2LC3TDQ1,4 ,2,,x=,,y=,,explanation,
GFA2LC3TDQ2,5 ,4,,x=,,y=,,explanation,
GFA2LC3TSQ1,2  ,3,,x=,,y=,,explanation,
GFA2LC3TSQ2,3  ,2,,x=,,y=,,explanation,
GFA2LC4TDQ1,-4,,,,,,,explanation,
GFA2LC4TDQ2,7,,,,,,,explanation,
GFA2LC4TSQ1,1,,,,,,,explanation,
GFA2LC4TSQ2,7,,,,,,,explanation,
GFA2LC5TDQ1,−6 ,−4,,x=,,x=,,explanation,
GFA2LC5TDQ2,−0.28  ,−2.39,,x=,,x=,,explanation,
GFA2LC5TSQ1,- 5,,,,,,,explanation,
GFA2LC5TSQ2,−0.28  ,−2.39,,x=,,x=,,explanation,
GFA2LC6TDQ1,40,,,km/h,,,,explanation,
GFA2LC6TDQ2,500,,,£,,,,explanation,
GFA2LC6TSQ1,120,,,km/h,,,,explanation,
GFA2LC6TSQ2,128 ,,,,,,,explanation,
GFA2LC7TDQ1,-20 ,,,,,,,explanation,
GFA2LC7TDQ2,-2,,,,,,,explanation,
GFA2LC7TSQ1,25,,,,,,,explanation,
GFA2LC7TSQ2,- 1,4,,,,,,explanation,
