question_code,ans1_body,ans2_body,ans3_body,ans1_b,ans1_a,ans2_b,ans2_a,ans_explanation,ans_image
GFG1LC1TDQ1,60,,,,°,,,explanation,
GFG1LC1TDQ2,25,,,,°,,,explanation,
GFG1LC1TSQ1,25,,,,°,,,explanation,
GFG1LC1TSQ2,50,,,,°,,,explanation,
GFG1LC2TDQ1,233,,,,°,,,explanation,
GFG1LC2TDQ2,Trapezium,,,,,,,explanation,
GFG1LC2TSQ1,120,,,,°,,,explanation,
GFG1LC2TSQ2,Rhombus,,,,,,,explanation,
GFG1LC3TDQ1,119,,,,°,,,explanation,
GFG1LC3TDQ2,124,,,,°,,,explanation,
GFG1LC3TSQ1,62,,,,°,,,explanation,
GFG1LC3TSQ2,141,,,,°,,,explanation,
GFG1LC4TDQ1,76 ,,,,cm ,,,explanation,
GFG1LC4TDQ2,50.2 ,,,,cm²,,,explanation,
GFG1LC4TSQ1,50.37 ,,,,cm²,,,explanation,
GFG1LC4TSQ2,70.45,,,,,,,explanation,
GFG1LC5TDQ1,150,,,,°,,,explanation,
GFG1LC5TDQ2,24 ,,,,sides ,,,explanation,
GFG1LC5TSQ1,36,,,,°,,,explanation,
GFG1LC5TSQ2,18 ,,,,sides,,,explanation,
GFG1LC6TDQ1,65,,,,m²,,,explanation,
GFG1LC6TDQ2,240,,,,m²,,,explanation,
GFG1LC6TSQ1,9.1,,,, m²,,,explanation,
GFG1LC7TDQ1,20.1 ,,,,m,,,explanation,
GFG1LC7TDQ2,15.12,,,,m,,,explanation,
GFG1LC7TSQ1, 200 ,,,,mm,,,explanation,
GFG1LC7TSQ2,30 ,,,,m,,,explanation,
GFG1LC8TDQ1,tetrahedron,,,,,,,explanation,
GFG1LC8TDQ2,6,,,,,,,explanation,
GFG1LC8TDQ3,3,,,,,,,explanation,
GFG1LC8TSQ1,square-based pyramid,,,,,,,explanation,
GFG1LC8TSQ2,2,,,,,,,explanation,
GFG1LC8TSQ3,2,,,,,,,explanation,
GFG1LC9TDQ1,60,,,,,,,explanation,
GFG1LC9TDQ2,144 ,,,,cm³,,,explanation,
GFG1LC9TSQ1, 9047.79,,,,cm³,,,explanation,
GFG1LC9TSQ2,90,,,,cm³,,,explanation,
GFG1LC10TDQ1,19.8,,,,m²,,,explanation,
GFG1LC10TDQ2,169.7,,,,cm²,,,explanation,
GFG1LC10TSQ1,1012,,,,cm²,,,explanation,
GFG1LC10TSQ2,96 ,,,,m²,,,explanation,
